major_name,major_description,university_name,country,university_score,major_name_vi,major_description_vi
Meta iOS Developer," Mobile Development, Swift Programming, iOS Development, Computer Programming, Mobile Development Tools, React (web framework), Application Development, Software Engineering, Data Structures, User Experience, User Experience Design, Web Development, Computer Programming Tools, Software Engineering Tools, Front-End Web Development, Algorithms, Computer Science, Interactive Design, Javascript, Collaboration, Communication, Data Management, Django (Web Framework), Human Computer Interaction, Linux, Problem Solving, Product Design, Software Architecture, Web Design",meta,Unknown,62.39938193343899,Nhà phát triển Meta iOS,"Phát triển di động, Lập trình Swift, Phát triển iOS, Lập trình máy tính, Công cụ phát triển di động, React (khung web), Phát triển ứng dụng, Kỹ thuật phần mềm, Cấu trúc dữ liệu, Trải nghiệm người dùng, Thiết kế trải nghiệm người dùng, Phát triển web, Công cụ lập trình máy tính, Công cụ kỹ thuật phần mềm, Phát triển web giao diện người dùng, Thuật toán, Khoa học máy tính, Thiết kế tương tác, Javascript, Cộng tác, Giao tiếp, Quản lý dữ liệu, Django (Khung Web), Tương tác máy tính của con người, Linux, Sự cố Giải quyết, Thiết kế sản phẩm, Kiến trúc phần mềm, Thiết kế web"
Meta Android Developer," Mobile Development, Computer Programming, React (web framework), Mobile Development Tools, Application Development, Software Engineering, Android Development, Other Programming Languages, Web Development, User Experience, Algorithms, Computer Science, Front-End Web Development, Javascript, Programming Principles, Cloud API, Collaboration, Communication, Data Management, Data Structures, Databases, Human Computer Interaction, Interactive Design, Linux, Problem Solving, Product Design, Software Architecture, Software Engineering Tools, Swift Programming, Web Design",meta,Unknown,62.39938193343899,Nhà phát triển Meta Android,"Phát triển di động, Lập trình máy tính, React (khung web), Công cụ phát triển di động, Phát triển ứng dụng, Kỹ thuật phần mềm, Phát triển Android, Ngôn ngữ lập trình khác, Phát triển web, Trải nghiệm người dùng, Thuật toán, Khoa học máy tính, Phát triển web front-end, Javascript, Nguyên tắc lập trình, API đám mây, Cộng tác, Giao tiếp, Quản lý dữ liệu, Cấu trúc dữ liệu, Cơ sở dữ liệu, Tương tác máy tính của con người, Thiết kế tương tác, Linux, Giải quyết vấn đề, Thiết kế sản phẩm, Kiến trúc phần mềm, Phần mềm Công cụ kỹ thuật, Lập trình Swift, Thiết kế web"
Prompt Engineering for ChatGPT," Creativity, Problem Solving, Writing",vanderbilt university,USA,48.44,Kỹ thuật nhắc nhở cho ChatGPT,"Sáng tạo, Giải quyết vấn đề, Viết"
Prompt Engineering for ChatGPT," Creativity, Problem Solving, Writing",vanderbilt university,USA,47.8,Kỹ thuật nhắc nhở cho ChatGPT,"Sáng tạo, Giải quyết vấn đề, Viết"
Prompt Engineering for ChatGPT," Creativity, Problem Solving, Writing",vanderbilt university,USA,53.69,Kỹ thuật nhắc nhở cho ChatGPT,"Sáng tạo, Giải quyết vấn đề, Viết"
Prompt Engineering for ChatGPT," Creativity, Problem Solving, Writing",vanderbilt university,USA,53.05,Kỹ thuật nhắc nhở cho ChatGPT,"Sáng tạo, Giải quyết vấn đề, Viết"
Play It Safe: Manage Security Risks," Audit, Leadership and Management, Risk Management",google,Unknown,62.39938193343899,Chơi an toàn: Quản lý rủi ro bảo mật,"Kiểm toán, Lãnh đạo và Quản lý, Quản lý rủi ro"
AI For Business," Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Data Analysis, Algorithms, Human Learning, Leadership and Management, Business Analysis, Decision Making, Human Resources, People Management, People Analysis, Artificial Neural Networks, Deep Learning, Business Transformation, Customer Analysis, Finance, Financial Accounting, Marketing, Probability & Statistics, Regulations and Compliance, Statistical Machine Learning, Strategy, User Experience, Big Data",university of pennsylvania,USA,73.64,AI dành cho doanh nghiệp,"Học máy, Thuật toán học máy, Học máy ứng dụng, Phân tích dữ liệu, Thuật toán, Học tập con người, Lãnh đạo và quản lý, Phân tích kinh doanh, Ra quyết định, Nhân sự, Quản lý con người, Phân tích con người, Mạng thần kinh nhân tạo, Học sâu, Chuyển đổi kinh doanh, Phân tích khách hàng, Tài chính, Kế toán tài chính, Tiếp thị, Xác suất & Thống kê, Quy định và Tuân thủ, Học máy thống kê, Chiến lược, Trải nghiệm người dùng, Dữ liệu lớn"
AI For Business," Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Data Analysis, Algorithms, Human Learning, Leadership and Management, Business Analysis, Decision Making, Human Resources, People Management, People Analysis, Artificial Neural Networks, Deep Learning, Business Transformation, Customer Analysis, Finance, Financial Accounting, Marketing, Probability & Statistics, Regulations and Compliance, Statistical Machine Learning, Strategy, User Experience, Big Data",university of pennsylvania,USA,77.24,AI dành cho doanh nghiệp,"Học máy, Thuật toán học máy, Học máy ứng dụng, Phân tích dữ liệu, Thuật toán, Học tập con người, Lãnh đạo và quản lý, Phân tích kinh doanh, Ra quyết định, Nhân sự, Quản lý con người, Phân tích con người, Mạng thần kinh nhân tạo, Học sâu, Chuyển đổi kinh doanh, Phân tích khách hàng, Tài chính, Kế toán tài chính, Tiếp thị, Xác suất & Thống kê, Quy định và Tuân thủ, Học máy thống kê, Chiến lược, Trải nghiệm người dùng, Dữ liệu lớn"
AI For Business," Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Data Analysis, Algorithms, Human Learning, Leadership and Management, Business Analysis, Decision Making, Human Resources, People Management, People Analysis, Artificial Neural Networks, Deep Learning, Business Transformation, Customer Analysis, Finance, Financial Accounting, Marketing, Probability & Statistics, Regulations and Compliance, Statistical Machine Learning, Strategy, User Experience, Big Data",university of pennsylvania,USA,79.3,AI dành cho doanh nghiệp,"Học máy, Thuật toán học máy, Học máy ứng dụng, Phân tích dữ liệu, Thuật toán, Học tập con người, Lãnh đạo và quản lý, Phân tích kinh doanh, Ra quyết định, Nhân sự, Quản lý con người, Phân tích con người, Mạng thần kinh nhân tạo, Học sâu, Chuyển đổi kinh doanh, Phân tích khách hàng, Tài chính, Kế toán tài chính, Tiếp thị, Xác suất & Thống kê, Quy định và Tuân thủ, Học máy thống kê, Chiến lược, Trải nghiệm người dùng, Dữ liệu lớn"
AI For Business," Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Data Analysis, Algorithms, Human Learning, Leadership and Management, Business Analysis, Decision Making, Human Resources, People Management, People Analysis, Artificial Neural Networks, Deep Learning, Business Transformation, Customer Analysis, Finance, Financial Accounting, Marketing, Probability & Statistics, Regulations and Compliance, Statistical Machine Learning, Strategy, User Experience, Big Data",university of pennsylvania,USA,77.6,AI dành cho doanh nghiệp,"Học máy, Thuật toán học máy, Học máy ứng dụng, Phân tích dữ liệu, Thuật toán, Học tập con người, Lãnh đạo và quản lý, Phân tích kinh doanh, Ra quyết định, Nhân sự, Quản lý con người, Phân tích con người, Mạng thần kinh nhân tạo, Học sâu, Chuyển đổi kinh doanh, Phân tích khách hàng, Tài chính, Kế toán tài chính, Tiếp thị, Xác suất & Thống kê, Quy định và Tuân thủ, Học máy thống kê, Chiến lược, Trải nghiệm người dùng, Dữ liệu lớn"
Business and Financial Modeling," Business Analysis, Data Analysis, Finance, General Statistics, Probability & Statistics, Financial Analysis, Statistical Analysis, Forecasting, Mathematics, Spreadsheet Software, Statistical Tests, Basic Descriptive Statistics, Data Model, Mathematical Theory & Analysis, Risk Management, Correlation And Dependence, Probability Distribution, Decision Making, Investment Management, Accounting, Leadership and Management, Regression, Financial Accounting, Microsoft Excel, Performance Management, Cash Management, General Accounting, Computer Programming",university of pennsylvania,USA,73.64,Mô hình kinh doanh và tài chính,"Phân tích kinh doanh, Phân tích dữ liệu, Tài chính, Thống kê chung, Xác suất & Thống kê, Phân tích tài chính, Phân tích thống kê, Dự báo, Toán học, Phần mềm bảng tính, Kiểm tra thống kê, Thống kê mô tả cơ bản, Mô hình dữ liệu, Lý thuyết & phân tích toán học, Quản lý rủi ro, Tương quan và phụ thuộc, Phân phối xác suất, Ra quyết định, Quản lý đầu tư, Kế toán, Lãnh đạo và Quản lý, Hồi quy, Kế toán tài chính, Microsoft Excel, Quản lý hiệu suất, Quản lý tiền mặt, Chung Kế toán, Lập trình máy tính"
Business and Financial Modeling," Business Analysis, Data Analysis, Finance, General Statistics, Probability & Statistics, Financial Analysis, Statistical Analysis, Forecasting, Mathematics, Spreadsheet Software, Statistical Tests, Basic Descriptive Statistics, Data Model, Mathematical Theory & Analysis, Risk Management, Correlation And Dependence, Probability Distribution, Decision Making, Investment Management, Accounting, Leadership and Management, Regression, Financial Accounting, Microsoft Excel, Performance Management, Cash Management, General Accounting, Computer Programming",university of pennsylvania,USA,77.24,Mô hình kinh doanh và tài chính,"Phân tích kinh doanh, Phân tích dữ liệu, Tài chính, Thống kê chung, Xác suất & Thống kê, Phân tích tài chính, Phân tích thống kê, Dự báo, Toán học, Phần mềm bảng tính, Kiểm tra thống kê, Thống kê mô tả cơ bản, Mô hình dữ liệu, Lý thuyết & phân tích toán học, Quản lý rủi ro, Tương quan và phụ thuộc, Phân phối xác suất, Ra quyết định, Quản lý đầu tư, Kế toán, Lãnh đạo và Quản lý, Hồi quy, Kế toán tài chính, Microsoft Excel, Quản lý hiệu suất, Quản lý tiền mặt, Chung Kế toán, Lập trình máy tính"
Business and Financial Modeling," Business Analysis, Data Analysis, Finance, General Statistics, Probability & Statistics, Financial Analysis, Statistical Analysis, Forecasting, Mathematics, Spreadsheet Software, Statistical Tests, Basic Descriptive Statistics, Data Model, Mathematical Theory & Analysis, Risk Management, Correlation And Dependence, Probability Distribution, Decision Making, Investment Management, Accounting, Leadership and Management, Regression, Financial Accounting, Microsoft Excel, Performance Management, Cash Management, General Accounting, Computer Programming",university of pennsylvania,USA,79.3,Mô hình kinh doanh và tài chính,"Phân tích kinh doanh, Phân tích dữ liệu, Tài chính, Thống kê chung, Xác suất & Thống kê, Phân tích tài chính, Phân tích thống kê, Dự báo, Toán học, Phần mềm bảng tính, Kiểm tra thống kê, Thống kê mô tả cơ bản, Mô hình dữ liệu, Lý thuyết & phân tích toán học, Quản lý rủi ro, Tương quan và phụ thuộc, Phân phối xác suất, Ra quyết định, Quản lý đầu tư, Kế toán, Lãnh đạo và Quản lý, Hồi quy, Kế toán tài chính, Microsoft Excel, Quản lý hiệu suất, Quản lý tiền mặt, Chung Kế toán, Lập trình máy tính"
Business and Financial Modeling," Business Analysis, Data Analysis, Finance, General Statistics, Probability & Statistics, Financial Analysis, Statistical Analysis, Forecasting, Mathematics, Spreadsheet Software, Statistical Tests, Basic Descriptive Statistics, Data Model, Mathematical Theory & Analysis, Risk Management, Correlation And Dependence, Probability Distribution, Decision Making, Investment Management, Accounting, Leadership and Management, Regression, Financial Accounting, Microsoft Excel, Performance Management, Cash Management, General Accounting, Computer Programming",university of pennsylvania,USA,77.6,Mô hình kinh doanh và tài chính,"Phân tích kinh doanh, Phân tích dữ liệu, Tài chính, Thống kê chung, Xác suất & Thống kê, Phân tích tài chính, Phân tích thống kê, Dự báo, Toán học, Phần mềm bảng tính, Kiểm tra thống kê, Thống kê mô tả cơ bản, Mô hình dữ liệu, Lý thuyết & phân tích toán học, Quản lý rủi ro, Tương quan và phụ thuộc, Phân phối xác suất, Ra quyết định, Quản lý đầu tư, Kế toán, Lãnh đạo và Quản lý, Hồi quy, Kế toán tài chính, Microsoft Excel, Quản lý hiệu suất, Quản lý tiền mặt, Chung Kế toán, Lập trình máy tính"
Foundations of User Experience (UX) Design," User Experience, User Experience Design, User Research, Product Development",google,Unknown,62.39938193343899,Nền tảng của thiết kế trải nghiệm người dùng (UX),"Trải nghiệm người dùng, Thiết kế trải nghiệm người dùng, Nghiên cứu người dùng, Phát triển sản phẩm"
Google Business Intelligence," Business Intelligence, Data Analysis, Data Management, Data Model, Data Visualization, Extract, Transform, Load, Leadership and Management, Tableau Software",google,Unknown,62.39938193343899,Thông tin kinh doanh của Google,"Thông minh kinh doanh, Phân tích dữ liệu, Quản lý dữ liệu, Mô hình dữ liệu, Trực quan hóa dữ liệu, Trích xuất, Chuyển đổi, Tải, Lãnh đạo và Quản lý, Phần mềm Tableau"
Meta Database Engineer," SQL, Databases, Statistical Programming, Python Programming, Database Design, Programming Principles, Algorithms, Computer Science, Big Data, Software Testing, Application Development, Collaboration, Communication, Computer Programming, Data Analysis, Data Management, Data Model, Data Structures, Data Warehousing, Database Administration, Database Application, Database Theory, Django (Web Framework), Javascript, Linux, Problem Solving, Project Management, Software Engineering, Software Engineering Tools, Tableau Software, Tensorflow, Web Development",meta,Unknown,62.39938193343899,Kỹ sư cơ sở dữ liệu Meta,"SQL, Cơ sở dữ liệu, Lập trình thống kê, Lập trình Python, Thiết kế cơ sở dữ liệu, Nguyên tắc lập trình, Thuật toán, Khoa học máy tính, Dữ liệu lớn, Kiểm tra phần mềm, Phát triển ứng dụng, Hợp tác, Giao tiếp, Lập trình máy tính, Phân tích dữ liệu, Quản lý dữ liệu, Mô hình dữ liệu, Cấu trúc dữ liệu, Kho dữ liệu, Quản trị cơ sở dữ liệu, Ứng dụng cơ sở dữ liệu, Lý thuyết cơ sở dữ liệu, Django (Khung Web), Javascript, Linux, Giải quyết vấn đề, Quản lý dự án, Kỹ thuật phần mềm, Công cụ kỹ thuật phần mềm, Phần mềm Tableau, Tensorflow, Phát triển web"
Project Initiation: Starting a Successful Project," Project Management, Strategy and Operations, Collaboration, Communication, Leadership and Management, Planning",google,Unknown,62.39938193343899,Bắt đầu dự án: Bắt đầu một dự án thành công,"Quản lý dự án, Chiến lược và hoạt động, Hợp tác, Giao tiếp, Lãnh đạo và Quản lý, Lập kế hoạch"
Ask Questions to Make Data-Driven Decisions," Business Communication, Data Analysis, Spreadsheet Software, Big Data, Communication, Leadership and Management, Problem Solving, Small Data",google,Unknown,62.39938193343899,Đặt câu hỏi để đưa ra quyết định dựa trên dữ liệu,"Giao tiếp trong kinh doanh, Phân tích dữ liệu, Phần mềm bảng tính, Dữ liệu lớn, Giao tiếp, Lãnh đạo và Quản lý, Giải quyết vấn đề, Dữ liệu nhỏ"
Microsoft 365 Fundamentals," Visual Design, Communication, Microsoft Excel, Data Visualization, Interactive Data Visualization, Spreadsheet Software, Computer Graphics, Critical Thinking, Data Analysis, Visualization (Computer Graphics), Collaboration, User Experience, Computer Graphic Techniques, Research and Design, Statistical Visualization, User Experience Design, Writing, Basic Descriptive Statistics, Data Analysis Software, Graphic Design, Databases, General Accounting, Marketing Design, Product Design, Software Engineering Tools",microsoft,Unknown,62.39938193343899,Thông tin cơ bản về Microsoft 365,"Thiết kế Trực quan, Giao tiếp, Microsoft Excel, Trực quan hóa Dữ liệu, Trực quan hóa Dữ liệu Tương tác, Phần mềm bảng tính, Đồ họa Máy tính, Tư duy phản biện, Phân tích Dữ liệu, Trực quan hóa (Đồ họa Máy tính), Hợp tác, Trải nghiệm người dùng, Kỹ thuật đồ họa máy tính, Nghiên cứu và Thiết kế, Trực quan hóa Thống kê, Thiết kế Trải nghiệm Người dùng, Viết, Thống kê mô tả cơ bản, Phần mềm phân tích dữ liệu, Thiết kế đồ họa, Cơ sở dữ liệu, Kế toán tổng hợp, Thiết kế tiếp thị, Thiết kế sản phẩm, Công cụ kỹ thuật phần mềm"
Microsoft Cybersecurity Analyst," Cloud Computing, Computer Architecture, Data Management, Leadership and Management, Microsoft Azure, Network Security, Operating Systems, System Security",microsoft,Unknown,62.39938193343899,Nhà phân tích an ninh mạng của Microsoft,"Điện toán đám mây, Kiến trúc máy tính, Quản lý dữ liệu, Lãnh đạo và Quản lý, Microsoft Azure, An ninh mạng, Hệ điều hành, Bảo mật hệ thống"
Advanced Learning Algorithms," Applied Machine Learning, Machine Learning, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Deep Learning, Network Model, Tensorflow, Machine Learning Software, Python Programming",deeplearning.ai,Unknown,62.39938193343899,Thuật toán học tập nâng cao,"Học máy ứng dụng, Học máy, Thuật toán học máy, Thuật toán, Mạng thần kinh nhân tạo, Học sâu, Mô hình mạng, Tensorflow, Phần mềm học máy, Lập trình Python"
Become a CBRS Certified Professional Installer by Google," Communication, SAS (Software), Regulations and Compliance, Systems Design, System Security, Network Architecture, Process Analysis, Training, Decision Making, Operating Systems",google - spectrum sharing,Unknown,62.39938193343899,Trở thành Trình cài đặt chuyên nghiệp được chứng nhận CBRS của Google,"Truyền thông, SAS (Phần mềm), Quy định và Tuân thủ, Thiết kế hệ thống, Bảo mật hệ thống, Kiến trúc mạng, Phân tích quy trình, Đào tạo, Ra quyết định, Hệ điều hành"
Financial Markets," Finance, Investment Management, Risk Management, Banking, Behavioral Economics, Critical Thinking, Decision Making, Financial Analysis, Innovation, Regulations and Compliance, Leadership and Management",yale university,USA,79.14,Thị trường tài chính,"Tài chính, Quản lý đầu tư, Quản lý rủi ro, Ngân hàng, Kinh tế hành vi, Tư duy phản biện, Ra quyết định, Phân tích tài chính, Đổi mới, Quy định và tuân thủ, Lãnh đạo và Quản lý"
Financial Markets," Finance, Investment Management, Risk Management, Banking, Behavioral Economics, Critical Thinking, Decision Making, Financial Analysis, Innovation, Regulations and Compliance, Leadership and Management",yale university,USA,78.83,Thị trường tài chính,"Tài chính, Quản lý đầu tư, Quản lý rủi ro, Ngân hàng, Kinh tế hành vi, Tư duy phản biện, Ra quyết định, Phân tích tài chính, Đổi mới, Quy định và tuân thủ, Lãnh đạo và Quản lý"
Financial Markets," Finance, Investment Management, Risk Management, Banking, Behavioral Economics, Critical Thinking, Decision Making, Financial Analysis, Innovation, Regulations and Compliance, Leadership and Management",yale university,USA,88.11,Thị trường tài chính,"Tài chính, Quản lý đầu tư, Quản lý rủi ro, Ngân hàng, Kinh tế hành vi, Tư duy phản biện, Ra quyết định, Phân tích tài chính, Đổi mới, Quy định và tuân thủ, Lãnh đạo và Quản lý"
Financial Markets," Finance, Investment Management, Risk Management, Banking, Behavioral Economics, Critical Thinking, Decision Making, Financial Analysis, Innovation, Regulations and Compliance, Leadership and Management",yale university,USA,86.61,Thị trường tài chính,"Tài chính, Quản lý đầu tư, Quản lý rủi ro, Ngân hàng, Kinh tế hành vi, Tư duy phản biện, Ra quyết định, Phân tích tài chính, Đổi mới, Quy định và tuân thủ, Lãnh đạo và Quản lý"
HRCI Human Resource Associate," Benefits, Compensation, Employee Relations, Mergers & Acquisitions, Performance Management, Recruitment, Risk Management, Training",hrci,Unknown,62.39938193343899,Cộng tác viên Nhân sự HRCI,"Phúc lợi, Bồi thường, Quan hệ nhân viên, Sáp nhập & Mua lại, Quản lý hiệu suất, Tuyển dụng, Quản lý rủi ro, Đào tạo"
Excel Skills for Business," Spreadsheet Software, Business Analysis, Microsoft Excel, Data Analysis, Plot (Graphics), Data Visualization, Data Model, Databases, Finance, Leadership and Management",macquarie university,Australia,45.18,Kỹ năng Excel cho doanh nghiệp,"Phần mềm bảng tính, Phân tích kinh doanh, Microsoft Excel, Phân tích dữ liệu, Vẽ đồ thị (Đồ họa), Trực quan hóa dữ liệu, Mô hình dữ liệu, Cơ sở dữ liệu, Tài chính, Lãnh đạo và Quản lý"
Excel Skills for Business," Spreadsheet Software, Business Analysis, Microsoft Excel, Data Analysis, Plot (Graphics), Data Visualization, Data Model, Databases, Finance, Leadership and Management",macquarie university,Australia,44.96,Kỹ năng Excel cho doanh nghiệp,"Phần mềm bảng tính, Phân tích kinh doanh, Microsoft Excel, Phân tích dữ liệu, Vẽ đồ thị (Đồ họa), Trực quan hóa dữ liệu, Mô hình dữ liệu, Cơ sở dữ liệu, Tài chính, Lãnh đạo và Quản lý"
The Bits and Bytes of Computer Networking," Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Critical Thinking, Problem Solving, Computer Architecture, Human Computer Interaction, Network Security, Cloud Computing",google,Unknown,62.39938193343899,Các bit và byte của mạng máy tính,"Mạng máy tính, Kiến trúc mạng, Mô hình mạng, Phần cứng mạng, Phân tích mạng, Tư duy phản biện, Giải quyết vấn đề, Kiến trúc máy tính, Tương tác máy tính của con người, An ninh mạng, Điện toán đám mây"
IBM Machine Learning," Machine Learning, Machine Learning Algorithms, Human Learning, Statistical Machine Learning, Data Analysis, Probability & Statistics, Applied Machine Learning, Algorithms, Forecasting, Statistical Analysis, Regression, Deep Learning, General Statistics, Python Programming, Machine Learning Software, Artificial Neural Networks, Exploratory Data Analysis, Feature Engineering, Correlation And Dependence, Dimensionality Reduction, Statistical Tests, Probability Distribution, Reinforcement Learning, Basic Descriptive Statistics, Network Model, Tensorflow",ibm,Unknown,62.39938193343899,Học máy của IBM,"Học máy, Thuật toán học máy, Học con người, Học máy thống kê, Phân tích dữ liệu, Xác suất & Thống kê, Học máy ứng dụng, Thuật toán, Dự báo, Phân tích thống kê, Hồi quy, Học sâu, Thống kê chung, Lập trình Python, Phần mềm học máy, Mạng thần kinh nhân tạo, Phân tích dữ liệu khám phá, Kỹ thuật tính năng, Tương quan và phụ thuộc, Giảm kích thước, Kiểm tra thống kê, Phân phối xác suất, Học tăng cường, Thống kê mô tả cơ bản, Mô hình mạng, Tensorflow"
Indigenous Canada, Critical Thinking,university of alberta,Canada,44.5,Canada bản địa,Tư duy phản biện
Indigenous Canada, Critical Thinking,university of alberta,Canada,51.23,Canada bản địa,Tư duy phản biện
Indigenous Canada, Critical Thinking,university of alberta,Canada,50.25,Canada bản địa,Tư duy phản biện
Connect and Protect: Networks and Network Security," Network Security, Cloud Computing, Network Architecture",google,Unknown,62.39938193343899,Kết nối và bảo vệ: Mạng và an ninh mạng,"An ninh mạng, Điện toán đám mây, Kiến trúc mạng"
Preparing for Google Cloud Certification: Cloud Architect," Google Cloud Platform, Cloud Computing, Cloud Applications, Cloud Engineering, Cloud Platforms, Cloud Infrastructure, Cloud Management, Cloud Storage, Other Cloud Platforms and Tools, Cloud-Based Integration, Computer Networking, DevOps, Google App Engine, Computer Architecture, Cross Platform Development, Kubernetes, Billing & Invoicing, Computer Security Models, Critical Thinking, Network Architecture, Network Analysis, Computer Programming, Operational Analysis, Software Testing, Leadership and Management",google cloud,Unknown,62.39938193343899,Chuẩn bị cho Chứng chỉ Google Cloud: Cloud Architect,"Google Cloud Platform, Điện toán đám mây, Ứng dụng đám mây, Kỹ thuật đám mây, Nền tảng đám mây, Cơ sở hạ tầng đám mây, Quản lý đám mây, Lưu trữ đám mây, Các công cụ và nền tảng đám mây khác, Tích hợp dựa trên đám mây, Mạng máy tính, DevOps, Google App Engine, Kiến trúc máy tính, Phát triển đa nền tảng, Kubernetes, Lập hóa đơn, Mô hình bảo mật máy tính, Tư duy phản biện, Kiến trúc mạng, Phân tích mạng, Lập trình máy tính, Phân tích vận hành, Kiểm tra phần mềm, Lãnh đạo và Quản lý"
Neural Networks and Deep Learning," Artificial Neural Networks, Deep Learning, Machine Learning, Machine Learning Algorithms, Python Programming, Computational Logic, Computer Programming, Network Architecture, Network Model, Calculus, Human Learning, Regression, Mathematics",deeplearning.ai,Unknown,62.39938193343899,Mạng lưới thần kinh và học tập sâu,"Mạng thần kinh nhân tạo, Học sâu, Học máy, Thuật toán học máy, Lập trình Python, Logic tính toán, Lập trình máy tính, Kiến trúc mạng, Mô hình mạng, Giải tích, Học tập của con người, Hồi quy, Toán học"
Business Analytics," Data Analysis, Business Analysis, Probability & Statistics, Statistical Analysis, Leadership and Management, Strategy and Operations, Basic Descriptive Statistics, Exploratory Data Analysis, Financial Analysis, Forecasting, Data Model, Mathematics, Performance Management, Strategy, Accounting, Customer Analysis, Human Resources, Human Resources Operations, Market Analysis, Market Research, Marketing, Mathematical Theory & Analysis, Operations Management, Operations Research, Organizational Development, People Analysis, People Management, Spreadsheet Software, Talent Management, Financial Accounting, Collaboration, Finance, Regulations and Compliance",university of pennsylvania,USA,73.64,Phân tích kinh doanh,"Phân tích dữ liệu, Phân tích kinh doanh, Xác suất & Thống kê, Phân tích thống kê, Lãnh đạo và Quản lý, Chiến lược và Hoạt động, Thống kê mô tả cơ bản, Phân tích dữ liệu khám phá, Phân tích tài chính, Dự báo, Mô hình dữ liệu, Toán học, Quản lý hiệu suất, Chiến lược, Kế toán, Phân tích khách hàng, Nhân sự, Hoạt động nhân sự, Phân tích thị trường, Nghiên cứu thị trường, Tiếp thị, Lý thuyết & phân tích toán học, Quản lý hoạt động, Nghiên cứu hoạt động, Phát triển tổ chức, Phân tích con người, Quản lý con người, Phần mềm bảng tính, Quản lý nhân tài, Kế toán tài chính, Hợp tác, Tài chính, Quy định và Tuân thủ"
Business Analytics," Data Analysis, Business Analysis, Probability & Statistics, Statistical Analysis, Leadership and Management, Strategy and Operations, Basic Descriptive Statistics, Exploratory Data Analysis, Financial Analysis, Forecasting, Data Model, Mathematics, Performance Management, Strategy, Accounting, Customer Analysis, Human Resources, Human Resources Operations, Market Analysis, Market Research, Marketing, Mathematical Theory & Analysis, Operations Management, Operations Research, Organizational Development, People Analysis, People Management, Spreadsheet Software, Talent Management, Financial Accounting, Collaboration, Finance, Regulations and Compliance",university of pennsylvania,USA,77.24,Phân tích kinh doanh,"Phân tích dữ liệu, Phân tích kinh doanh, Xác suất & Thống kê, Phân tích thống kê, Lãnh đạo và Quản lý, Chiến lược và Hoạt động, Thống kê mô tả cơ bản, Phân tích dữ liệu khám phá, Phân tích tài chính, Dự báo, Mô hình dữ liệu, Toán học, Quản lý hiệu suất, Chiến lược, Kế toán, Phân tích khách hàng, Nhân sự, Hoạt động nhân sự, Phân tích thị trường, Nghiên cứu thị trường, Tiếp thị, Lý thuyết & phân tích toán học, Quản lý hoạt động, Nghiên cứu hoạt động, Phát triển tổ chức, Phân tích con người, Quản lý con người, Phần mềm bảng tính, Quản lý nhân tài, Kế toán tài chính, Hợp tác, Tài chính, Quy định và Tuân thủ"
Business Analytics," Data Analysis, Business Analysis, Probability & Statistics, Statistical Analysis, Leadership and Management, Strategy and Operations, Basic Descriptive Statistics, Exploratory Data Analysis, Financial Analysis, Forecasting, Data Model, Mathematics, Performance Management, Strategy, Accounting, Customer Analysis, Human Resources, Human Resources Operations, Market Analysis, Market Research, Marketing, Mathematical Theory & Analysis, Operations Management, Operations Research, Organizational Development, People Analysis, People Management, Spreadsheet Software, Talent Management, Financial Accounting, Collaboration, Finance, Regulations and Compliance",university of pennsylvania,USA,79.3,Phân tích kinh doanh,"Phân tích dữ liệu, Phân tích kinh doanh, Xác suất & Thống kê, Phân tích thống kê, Lãnh đạo và Quản lý, Chiến lược và Hoạt động, Thống kê mô tả cơ bản, Phân tích dữ liệu khám phá, Phân tích tài chính, Dự báo, Mô hình dữ liệu, Toán học, Quản lý hiệu suất, Chiến lược, Kế toán, Phân tích khách hàng, Nhân sự, Hoạt động nhân sự, Phân tích thị trường, Nghiên cứu thị trường, Tiếp thị, Lý thuyết & phân tích toán học, Quản lý hoạt động, Nghiên cứu hoạt động, Phát triển tổ chức, Phân tích con người, Quản lý con người, Phần mềm bảng tính, Quản lý nhân tài, Kế toán tài chính, Hợp tác, Tài chính, Quy định và Tuân thủ"
